,company,description,link,location,title
0,Confidential,"About YouWe're looking for a forward thinking, engaging, Full Stack Senior Wordpress Developer with the ability to work closely with our design & marketing teams and manage multiple clients WP sites.You will live and breathe development and will be able to demonstrate your ability solve complex problems and move quickly to support clients and their unusual requests.You will be hungry to learn and grow and in return you will be welcomed into a tight knit, evolving team that is part of a unique agency with ambitious growth plans, also you must understand the dynamic of a streamlined team and sometimes to get the best result you must go above and beyond the expected.Above all you will have the right attitude, have A+ written+spoken English, able to work 1pm-9pm (lots of US based clients) and have a positive outlook on coming to work everyday.Skills & Requirements5+ years of experienceProgramming Languages: JavaScript, HTML/CSS, and PHP (at a minimum)Extensive development experience. Considers development beyond the brief, and extends it to include commercial aspects and client considerationsAbility to manage custom Wordpress themes, develop page templates, spec theme enhancements and either perform theme updates or manage theme development to support leading-edge designs and UXDemonstrates high levels of attention to detail and standards of accuracy in all code deliverablesExperience working with modern technology stacks including Optimizely, Marketo, Google Analytics, Google Search Console, and Google Tag ManagerIn depth knowledge of contemporary SEO techniques, multi-variate testing, quality control, code review and testing processesAbility to manage website projects, work efficiently on time sensitive initiatives and effectively collaborate across marketing functionsMaintains regular day-to-day contact with key internal stakeholders to manage their expectationsWorks to ensure clear communication with internal and external contacts through the most appropriate methodConfident communication, both written and verbalNice to HaveB.S. in Computer Science or a related fieldJob Types: Full-time, Part-timeSalary: ₡8,580.00 to ₡12,580.00 /hourExperience:Wordpress: 5 years (Required)Language:English (Required)",https://cr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C42uWlTcvQuSvYOtAav8PzwEmyqfcTD3ltHWCdPLhdUYorS3opGZQvGm0d7zjEri2TF-bveZjPY36Yp6PvrnjIVoYoo6PeuoRWkw70Jaj2LlZUkADIviLskz246y2Lp7tuLFfqtnNFxT3VrI_uXwlNr3wwWP4-93NO24ewkMnDqnSRRXawnwP2mMJe2PbtDS1-y0fBePuWIBEyX3OruATKtqKbwe9gmFrQtA-qO1g8opVm9VWfYaQJECL01CJIJhFM9zVFuAfSPhNP1BS485ilh1__QV7iArdmH7KwChRhj1fuUenag07b0b2H2lAsIuJv4zcT_sZ6jOWe4hE9RmBlkRztz4YF8ymKYGckM0H6EQaIETPBlvR7jYThCVFrutWaJBfo6XrklVN0d5_PZKPKejpa4s8v4L1N_TMwO4K5VwqBjyWPfUP2&p=0&fvj=1&vjs=3,"San José, Provincia de San José",Wordpress Developer - Senior - Full Stack
1,Wind River,"Position Title: Data Developer
Location: Costa Rica

What you’ll do:

We are looking for a SQL/Looker BI developer who will provide business stakeholders with views and dashboards. Wind River has a data warehouse that we need to generate data and metrics for the entire organization. In this role, you will assist in the modeling of the data and the generation of business-driven metrics, illustrated through robust dashboards. Must be comfortable working with a wide range of stakeholders and functional teams.

Who You Will Work With:

The successful candidate will work and collaborate with the Finance data team to model and visualize data, based on requirements
The candidate will need to work closely with the DBA in the IT department for changes and updates to the Data Warehouse and/or databases
This position will report to the Sr. Director of Business Operations

Responsibilities:
Develop SQL code to generate views for visualization.
Develop LookML models for the entire company
Apply best practices with regards to SQL/LookML models, dashboards, visualizations
Work with cross-functional teams to gather requirements

Minimum Qualifications:

B.S. in Computer Science. Emphasis in Database is a plus
Strong SQL skills – 4+ years is preferable.
Data Warehouse experience is required. Snowflake experience is a plus
Experience with at least one of the following Enterprise System: SalesForce, Oracle, Oracle BI, Marketo, Anaplan, Adaptive
2+ years Development and visualization experience on one of the following platform: Tableau or Looker
LookML development experience is preferred
HTML development is a plus

Python development experience is a plus
Ability to communicate well across cross-functional teams
Passionate about data and contributing to the growth of a data driven organization

Why Choose Wind River?
Wind River believes that some things are so important they simply cannot fail. That is why we exist. Wind River software has been running the computing systems of the most important critical infrastructure that demand the highest standards for safety, security, performance, and reliability. Found in more than 2 billion devices, Wind River is pioneering edge compute technologies to accelerate the evolution from automated devices to autonomous systems. We have a spot for you!",https://cr.indeed.com/rc/clk?jk=db6ad71bdea13e5f&fccid=30c6be3855bc8a7c&vjs=3,"San José, Provincia de San José",Data Developer
2,Debugger Technology Solutions,"Opciones de Contrato: (medio tiempo - tiempo completo - por proyecto)
Locación: Curridabat, Costa Rica

Descripción
Estamos en búsqueda de Desarrolladores WordPress (Junior) para trabajar por proyectos para nuestra equipo en expansión para la cuenta de una Agencia de Marketing Digital Global dedicada a brindar servicios a empresas de tecnología en Norte América y Brasil. Formará parte de equipos ágiles manejados con metodología SCRUM, al lado de diseñadores, líderes técnicos y gerentes de proyecto localizados dentro y fuera de Costa Rica.


La persona escogida para el puesto se encargará de asistir a su equipo, parcial o totalmente, en la ejecución de proyectos de desarrollo web con WordPress. Se involucrará adecuadamente con cada proyecto y entrega, de manera que aporte soluciones al día a día del proyecto. Deberá tener facilidad de palabara, elocuencia a la hora de comunicar problemas, y actuará proactivamente para plantear soluciones, siempre velando por el bienestar de cada proyecto y su tiempo de entrega.

Asímismo, se buscan personas que les apasione el aprendizaje con cada proyecto, y que sean bilingues (inglés-Español) con al menos un 75% de nivel conversacional y escrito.
Responsabilidades
Reportarse diariamente para asignación de tareas y rendimiento de resultados con su Gerente asignado
Transformar diseños en plantillas HTML5 y CSS3
Implementación de diseños en WordPress
Personalizar la administración de WordPress con plugins de terceros y custom post types
Configurar temas de acuerdo a requisitos de cada proyecto
Instalar y configurar plugins - temas
Respaldar sitios y actualizar temas, plugins y versiones de WordPress
Brindar soporte al equipo del proyecto para tareas relacionadas con el desarrollo de cada proyecto
Documentar labores diarias en nuestro sistema de manejo de tareas según sean asignadas
Requisitos
HTML5, CSS3, JavaScript
Experiencia con sitios web responsivos
Manejo de WordPress (1-2 años)
Experiencia con page builders como WPBakery, Beaver Builder
1 año de experiencia en ambiente de agencia digital
Capacidad para trabajar remoto 2 días a la semana
Manejo de Trello, Slack, y/o Jira
75% de Inglés a nivel conversacional y escrito
Deseable
Experiencia con PHP y/o MySQL (1 año o + )
Manejo de Bootstrap
Sass & Grunt.js
Experiencia como miembro de un equipo ágil
Desarrollo de temas y o plugins, un plus!
Beneficios
2 días de Teletrabajo
Pago en dólares
Cursos de actualización",https://cr.indeed.com/rc/clk?jk=3cb3503d625c9a94&fccid=1dd6fadbcd0d89b7&vjs=3,"Curridabat, Provincia de San José",WordPress Developer (Junior)
3,Accenture,"Accenture solves our clients' toughest challenges by providing unmatched services in strategy, consulting, digital, technology and operations. We partner with more than three-quarters of the Fortune Global 500, driving innovation to improve the way the world works and lives. With expertise across more than 40 industries and all business functions, we deliver transformational outcomes for a demanding new digital world. Accenture solves our clients’ toughest challenges by providing unmatched services in strategy, consulting, digital, technology and operations. We partner with more than three-quarters of the Fortune Global 500, driving innovation to improve the way the world works and lives. With expertise across more than 40 industries and all business functions, we deliver transformational outcomes for a demanding new digital world.

The Front-End Developer will develop A/B test variation code for our clients, using HTML, CSS, and JavaScript. The Engineer will use A/B testing and analytics tools like Optimizely, Maxymiser, Adobe Target, Google Analytics, and more, to test new front-end user experiences and validate their performance with data.

Responsibilities:

Analyze requirements and develop optimized front-end solutions in JS, CSS3 & HTML5 satisfying styling expectations in mockup/design and following standard, guidelines & best.
Deliver quality solutions meeting requirements.
Collaborate with both technical and non-technical users inside our team and at client.

Requirements:

Bachelor’s Degree.
2+ years with front-end engineering, preferably in transactional businesses using A/B testing.
Good written communication skills.
Intermediate English.
Ability to analyze problems/requirements, define a proper approach (abstraction) to create optimized solutions.
Knowledge of web development basic standards and best practices on JS, HTML and CSS.
Proven development experience on the following technologies: HTML5, CSS3, JS.
Advanced experience with JS libraries like jQuery. Modular JS development is a plus.
Basic knowledge on JS Frameworks: Angular, React, VueJS
Basic knowledge with CSS frameworks like bootstrap & foundation
Advanced DOM Manipulation experience.
Ability to create HTML5 templates/modules from scratch and apply CSS styles following mockups/design (pixel perfect).
Responsive design techniques experience.
Advanced experience with AJAX.
Experience interacting with Cookies/Local Storage/ Session Storage
Understanding of XML/JSON structures.
Intermediate experience with CSS Preprocessors.
Intermediate knowledge of task runners' tools like Gulp and/or Grunt.
Debugging experience against in live environments.
Solid knowledge using web development and testing tools: Firebug, Web Developer Toolbars for Chrome, Safari, IE.
Intermediate experience with control version systems
A/B Test tools knowledge (Optimizely, Dynamic Yield, Adobe Target, Qubit)
Basic Analytics experience (Adobe Analytics, Google Analytics)
Debugging experience using HTTP monitoring tools (Charles, Fiddler) is a plus.
Attention to detail, self-motivation, and ability to keep on task.
Ability to multi-task in a fast-paced environment.",https://cr.indeed.com/rc/clk?jk=9ee85b4d7614c1c3&fccid=a4e4e2eaf26690c9&vjs=3,"San José, Provincia de San José",Front-End Developer Analyst
4,MBC Developers,"Perfil del puesto: Se requiere Ingeniero(a) de Sistemas o Estudiante pronto a graduarse, que desempeñe labores de diseño y programación de nuevas aplicaciones, así como el mantenimiento de las mismas y de aplicaciones existentes.

Funciones del puesto:

Programación
Trabajar bajo cronograma
Presentación periódica de avances
Documentación Técnica y de Usuario
Trabajo en equipo


Requisitos:

Ingeniero(a) de sistemas o estudiante avanzado pronto a graduarse
Conocimientos en el desarrollo de aplicaciones asp.net
Conocimientos en HTML, CSS y Javascript
Conocimientos de programación en base de datos MS SQL.
Horario de 8 a.m. a 5:30 p.m. de Lunes a Viernes, San Jose.


Deseable:

Bootstrap Framework
HTML5 y CSS3
MVC


Beneficios:

Buen ambiente laboral
Oportunidad de crecimiento
Capacitaciones
Convenios de estudios
Full CCSS
Salario quincenal
Vestimenta casual
Tagged as: .net, css3, diseño, html5, javascript, jquery, MVC, programador",https://cr.indeed.com/rc/clk?jk=4591ca5da4514825&fccid=0895accf661c1bad&vjs=3,"Montes de Oca, Provincia de San José",Junior Developer
5,Perfiles Tecnológicos,"The ideal candidate is a self- motivated, multi-tasker, and demostrated team -player. You will be a lead developer resposible for the development of new software products and enhacements to existing products. We are looking for experienced developers with ability to tackle issues on their own, report progress and manage projects with an outcome based mentality. Experience with SaaS products and Azure frameworks. Seld driven, creative and willing to excel in a team of outstanding IT leaders building next generation products for a US- based firm.
Requisitos
-Bachelor's degree in Computer Science -5+ years of demostrable software development experience - Expertise in Object Oriented desing, Database Design, MVVM architecture, API development and XML Schema - Experience in system design and development using SQL Azure, Micriosft SQL Server Azure App Services, Azure Cosmos DB, Azure Service Fabric, Azure Cacge for Redis, Azure Table Storage, Azure Table Storage, Azure Services Bus, Applications Insights. -Development across all phases of the SDLC including concept, techinical design, prototype, code development, testing and release. -Knowledge for intregation based on exchange Web Services, G suite APIs, Micrososft Graph API and Restful APIs -Competent level knowledge of Object - Oriented Design and Development -Extensive experience with Agile / Scrum software development methodologies -Experience with Git version control system -Extensive experiencia in Typescript, C# /.NET, ASP, Web Services, JavaScript, JQuery, AngularJS, Bootstrap, PowerShell, HTML, UML and XML.",https://cr.indeed.com/rc/clk?jk=05fd6bc019bb0e18&fccid=f0d8b9c02aa333e1&vjs=3,"San José, Provincia de San José",Azure Backend Developer
6,4Geeks Technologies,"Your role would be to provide support to a senior solutions architect. You will investigate application level issues, create PoCs (AKA Proof of Concepts) for possible future development (e.g. integrations, administration workflows etc.) and creating local instances of existing Drupal sites running on virtualized environments (e.g. DDev, Docker, etc).


Responsibilities

Translate pseudo code and other notes into code to validate potential fixes/enhancements and demonstrate interactive experiences.
Use Drush and Git to locally deploy LAMP sites, mostly Drupal, with a variety of different server packages and versions; being able to spin up the correct virtual environment configuration will be key


Client is in pharmaceutic industry.


Benefits & Perks:

Flexible Vacation Policy
Full Health Benefits
Flexible Time
Work from Home
Retirement Plans
Beer Friday
Training Meetups
Career Development Plan
Leadership Boost
Local universities discounts

Strong understanding of the Drupal API (7 & 8), PHP and MySQL.
Experience with extending and creating Drupal installation profiles, themes and custom modules including install files and deploying configuration through code.
Proficiency in using Composer to manage libraries and patches.
Strong command of GIT, including pull requests, forking and merge conflict resolution.
Knowledgeable in Google Performance Fundamentals (https://developers.google.com/web/fundamentals/performance/why-performance-matters/) and the Lighthouse performance audit tool.
Experience with using breakpoints, fallback and detection of support and graceful degradation strategies.
Ability to surmise the information gained through an investigation or PoC into a clear legible document as fits the data (charts, tables, bulleted list etc.).
A Drupal.org user account and experience in using and submitting issues and patches.
Understanding of Architectural/design review.
Knowledge of integration with third party systems (such as Mulesoft) as necessary.
Complete deployment process review.
Review design quality for ease of CMS editing, performance etc.
Ensure modules are reusable and packaged accordingly
Provide reusable design patterns as applicable.
Share Drupal Best Practices / Lunch & Learns.
Maintain solution architecture documentation",https://cr.indeed.com/rc/clk?jk=f50e11f2dc006522&fccid=3efcfb6fe89bf45d&vjs=3,"San José, Provincia de San José",Jr. Drupal Developer
7,Accenture,"Accenture solves our clients' toughest challenges by providing unmatched services in strategy, consulting, digital, technology and operations. We partner with more than three-quarters of the Fortune Global 500, driving innovation to improve the way the world works and lives. With expertise across more than 40 industries and all business functions, we deliver transformational outcomes for a demanding new digital world. Accenture solves our clients’ toughest challenges by providing unmatched services in strategy, consulting, digital, technology and operations. We partner with more than three-quarters of the Fortune Global 500, driving innovation to improve the way the world works and lives. With expertise across more than 40 industries and all business functions, we deliver transformational outcomes for a demanding new digital world.
Support design, build and test web-based applications for various site components and edit site content. Program the codes that dictate web page elements for positioning, styling and sizing information. Create and manage web pages, add/edit content and upload/remove documents using CMS or platforms, using semantic markup language i.e. Angular, NodeJS or React, HTML5/CSS/JS, to turn static Photoshop designs into working web pages or emails.

Key Responsibilities

Awareness and Communication
Content uploading, gathering and Maintenance
Domain Management Service
Layout Management
Web Development

Required Experience

Fluent English
Experience in Angular, NodeJS or React.
Graduate from a software engineer or web developer career or technical program or at least 1 year of proven experience as a web developer.
Experience building interactive web sites following best practices like unobtrusive JavaScript events and responsive grids.
Skills
HTML (HTML 4.01, XHTML, HTML 5)
CSS (CSS1, CSS2, CSS3 Cross browsing, pixel perfect concept, validation)
JS (DOM, Core, JSON, AJAX, Frameworks: jQuery, Node, Backbone, AngularJS)
Image Manipulation
XML/JSON
Front-End Tools
Web Optimization
Unit Testing / Quality Assurance
Emails
CMS Templating
Accessibility
Usability
SEO
Social Networks
Analytics
Pluses
Creation and versioning of email templates
Programming background
Knowledge of responsive design / mobile first and basic standards and its implementation (media queries)
DOM Manipulation
Basic knowledge in JavaScript libraries and components
Knowledge in Build Tools and Workflows (examples: Grunt, Gulp, Rake, Ant, Yeoman, Bower, etc.)
Basic level in image editing skills: slicing images, sprites implementation and images optimization for web
Photoshop Layers manipulation
Basic knowledge in Version Control Systems like SVN or GIT
Experience with FTP
Pixel Perfect Tools for Firefox and Chrome
Perform unit testing process for every accomplished task
Basic knowledge in QA process
Basic knowledge about email standards
Creating and versioning email templates
Basic knowledge in SEO
Experience integrating basic modules from Facebook, Twitter, G+, Pinterest
Implement share functionality for Facebook, Twitter, G+, Pinterest
Google Analytics, etc.
Possible Academic Background
Programming
Computer Science
Web Development
Software Engineer
Information Technology",https://cr.indeed.com/rc/clk?jk=3e216ade39e58a13&fccid=a4e4e2eaf26690c9&vjs=3,"San José, Provincia de San José",Web Developer Associate
8,ServicePro,"We are rapidly growing software company looking for dedicated programmers to support our dynamic software for the service industry.

We need programmers that will help us in the Development process and Solving Coding Issues.

Position requires familiarity and prior work experience our requirements are:

Minimum 3 years of .NET development experience with Bachelor’s degree program
Advanced knowledge of .NET Framework 4 and up (.NET Framework Core is a plus).
Full time demonstrated .Net development experience using C#
Intermediate knowledge of HTML5, CSS3, Web Forms and Javascript frameworks like jQuery.
Position requires work experience of at least 12 months.
Good understanding and proven experience using design patterns, data structures and tiered architecture.
Experience applying Microsoft best practices, design patterns and preferred coding standards
Good experience with SQL programming and a good understanding of relational databases like SQL Server and MySQL.
Advanced knowledge of ASP.NET 4 (MVC, Web API), Entity framework 6 and LINQ
Knowledge of ASP.NET Core and Entity framework Core is desirable

Intermediate knowledge of HTML5, CSS3, Web Forms and Javascript frameworks like jQuery.
Experience applying Microsoft best practices, design patterns and preferred coding standards.


Positions also requires you work from home and must have a high speed internet connection!

Must be able to work US office hours.

This is a full time position.

Competitive income with potential for growth.",https://cr.indeed.com/rc/clk?jk=c8bf502c8c987e77&fccid=1a94e2be429a1366&vjs=3,"San José, Provincia de San José",Developer
9,NTT DATA Services,"Req ID: 59667

At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our company’s growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Services and for the people who work here.

NTT DATA Services currently seeks a Cognos Developer to join our team in San Jose, Heredia (CR-H), Costa Rica (CR).

Responsibilities and Skills required:

Minimum 3+ experience in Cognos Applications and database design.
Coordinate with data architecture and modeling team to design databases and prepare reports.
Analyze all projects and prepare corporate strategies for same and provide support to all Cognos applications.
Prepare all reports for management with help of Cognos Report Studio.
Design all required excel and powerpoint templates and prepare all metadata models in coordination with framework manager.
Investigate and resolve all data issues and analyze all business requirements and perform interview with all stakeholders.
Coordinate with all stakeholders and analyze test queries and analyze client issues and assist all application analysts to translate all workflow requirements to efficient data points.
Prepare all designs and code for various Cognos reporting objects and ensure compliance to all best business practices in industry.
Ensure compliance to all design code and test activities and prepare plans for same and design various dashboards and maintain required framework for all processes.
Monitor work and ensure optimal utilization of all SQL scripts and documents all database requirements and analyze data anomalies and prepare reports for cycle.
Prepare all documents for reporting objects and monitor and resolve all desk ticket issues and perform troubleshoot on all Cognos objects to prepare reports and ensure compliance to all schedule.
Perform troubleshoot on all Cognos helpdesk tickets and resolve all queries for content and prepare standard reports and ensure accuracy of same.
Provide support to all Cognos issues and maintain knowledge on all new techniques and prepare reports for all warehouse functions.

This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.
About NTT DATA Services

NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.

NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune 100. Visit nttdataservices.com to learn more.

NTT DATA, Inc. (the “Company”) is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, gender identity, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.",https://cr.indeed.com/rc/clk?jk=cc1f81cac44d1cc1&fccid=ac38a400acc8fe73&vjs=3,"San José, Provincia de San José",Cognos Developer
